"id";"uri";"data";"dataHoraRegistro";"idOrgao";"uriOrgao";"siglaOrgao";"idEvento";"uriEvento";"aprovacao";"votosSim";"votosNao";"votosOutros";"descricao";"ultimaAberturaVotacao_dataHoraRegistro";"ultimaAberturaVotacao_descricao";"ultimaApresentacaoProposicao_dataHoraRegistro";"ultimaApresentacaoProposicao_descricao";"ultimaApresentacaoProposicao_idProposicao";"ultimaApresentacaoProposicao_uriProposicao"
"2563330-59";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2563330-59";"2026-03-17";"2026-03-17T23:19:44";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"81323";"https://dadosabertos.camara.leg.br/api/v2/eventos/81323";"0";"97";"258";"21";"Rejeitado o Requerimento. Sim: 97; Não: 258; Abstenção: 3; Total: 358.";"";"";"";"";"0";""
"2555417-29";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2555417-29";"2026-02-02";"2026-02-02T18:29:57";"180";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"PLEN";"80872";"https://dadosabertos.camara.leg.br/api/v2/eventos/80872";"1";"0";"0";"0";"Aprovada a Medida Provisória nº 1.312, de 2025.";"2026-02-02T18:34:12";"Votação, quanto ao mérito, em turno único.";"";"";"0";""
